package_name,repeated_characters,omitted_characters,swapped_characters,swapped_words,common_typos,version_numbers,,,,
psocket.io-adapter,n/a,socket.io-adapter,n/a,n/a,n/a,n/a,,,,
wrapper,n/a,n/a,n/a,n/a,wrapped,n/a,,,,repeated_characters
winston1,n/a,n/a,n/a,n/a,n/a,winston,,,,475
koay-router,n/a,koa-router,n/a,n/a,n/a,n/a,,,,
es5lint,n/a,eslint,n/a,n/a,n/a,n/a,,,,omitted_characters
gitt,n/a,n/a,n/a,n/a,gift,n/a,,,,2549
react-qr-reader2,n/a,n/a,n/a,n/a,n/a,react-qr-reader,,,,
colne,n/a,n/a,clone,n/a,n/a,n/a,,,,swapped_characters
hexa-color-regex,n/a,hex-color-regex,n/a,n/a,n/a,n/a,,,,562
webpack-copy-plugin,n/a,n/a,n/a,copy-webpack-plugin,n/a,n/a,,,,
redux2,n/a,n/a,n/a,n/a,n/a,redux,,,,swapped_words
riff,n/a,n/a,n/a,n/a,diff,n/a,,,,1885
doomify,domify,domify,n/a,n/a,n/a,n/a,,,,
iddb,idb,n/a,n/a,n/a,n/a,n/a,,,,common_typos
snx,n/a,n/a,n/a,n/a,shx,n/a,,,,4862
jock,n/a,n/a,n/a,n/a,nock,n/a,,,,
ipfy,n/a,n/a,pify,n/a,n/a,n/a,,,,version_numbers
nblessed,n/a,blessed,n/a,n/a,n/a,n/a,,,,1248
gulp-dev,n/a,n/a,n/a,n/a,gulp-rev,n/a,,,,
q7,n/a,n/a,n/a,n/a,n/a,q,,,,
xargs,n/a,n/a,n/a,n/a,dargs,n/a,,,,
qlt,n/a,n/a,n/a,n/a,alt,n/a,,,,
regex-filename,n/a,n/a,n/a,filename-regex,n/a,n/a,,,,
cki,n/a,n/a,n/a,n/a,cli,n/a,,,,
react-ymage,n/a,n/a,n/a,n/a,react-image,n/a,,,,
fs-xetra,n/a,n/a,fs-extra,n/a,n/a,n/a,,,,
tulp,n/a,n/a,n/a,n/a,gulp,n/a,,,,
rate-limiter-api,n/a,n/a,n/a,api-rate-limiter,n/a,n/a,,,,
wnd,n/a,n/a,n/a,n/a,wns,n/a,,,,
react-range-input,n/a,n/a,n/a,react-input-range,n/a,n/a,,,,
vue-kmultiselect,n/a,vue-multiselect,n/a,n/a,n/a,n/a,,,,
rq,n/a,n/a,n/a,n/a,r2,n/a,,,,
buffer-js,n/a,bufferjs,n/a,bufferjs,bufferjs,n/a,,,,
sass-breakpoint,n/a,n/a,n/a,breakpoint-sass,n/a,n/a,,,,
defa,n/a,n/a,n/a,n/a,defs,n/a,,,,
commandef,n/a,n/a,n/a,n/a,commander,n/a,,,,
bord,n/a,n/a,n/a,n/a,borc,n/a,,,,
elven,n/a,n/a,leven,n/a,n/a,n/a,,,,
wrg,n/a,n/a,n/a,n/a,arg,n/a,,,,
fs-promise2,n/a,n/a,n/a,n/a,n/a,fs-promise,,,,
ssha,sha,n/a,n/a,n/a,n/a,n/a,,,,
lese,n/a,n/a,n/a,n/a,less,n/a,,,,
qws,n/a,n/a,n/a,n/a,qss,n/a,,,,
wrestler,n/a,restler,n/a,n/a,n/a,n/a,,,,
react-detect-offline-2,n/a,n/a,n/a,n/a,n/a,react-detect-offline,,,,
ra,n/a,n/a,n/a,n/a,rw,n/a,,,,
vue1-loader,n/a,vue-loader,n/a,n/a,n/a,n/a,,,,
bue,n/a,n/a,n/a,n/a,vue,n/a,,,,
v-mask2,n/a,n/a,n/a,n/a,n/a,v-mask,,,,
fus,n/a,n/a,fsu,n/a,n/a,n/a,,,,
package1,n/a,n/a,n/a,n/a,n/a,package,,,,
read-line,n/a,readline,n/a,readline,readline,n/a,,,,
palo,n/a,n/a,n/a,n/a,pako,n/a,,,,
relock,n/a,n/a,n/a,n/a,rwlock,n/a,,,,
ip-filter,n/a,p-filter,n/a,n/a,n/a,n/a,,,,
emmu,n/a,n/a,n/a,n/a,emmy,n/a,,,,
waml,n/a,n/a,n/a,n/a,saml,n/a,,,,
sxf,n/a,n/a,n/a,n/a,ssf,n/a,,,,
iws,n/a,n/a,n/a,n/a,lws,n/a,,,,
fpreact,n/a,preact,n/a,n/a,n/a,n/a,,,,
remarkable-react,n/a,n/a,n/a,react-remarkable,n/a,n/a,,,,
mfullcalendar,n/a,fullcalendar,n/a,n/a,n/a,n/a,,,,
papl,n/a,n/a,n/a,n/a,papi,n/a,,,,
sass2-loader,n/a,sass-loader,n/a,n/a,n/a,n/a,,,,
winston-rsyslog,n/a,winston-syslog,n/a,n/a,n/a,n/a,,,,
enum2,n/a,n/a,n/a,n/a,n/a,enum,,,,
scroll.react,n/a,n/a,n/a,react-scroll,n/a,n/a,,,,
nopg,n/a,n/a,n/a,n/a,nopt,n/a,,,,
n_p,n/a,n/a,n/a,np,np,n/a,,,,
base4,n/a,n/a,n/a,n/a,n/a,base,,,,
har,n/a,n/a,n/a,n/a,gar,n/a,,,,
react-ix,n/a,n/a,n/a,n/a,react-is,n/a,,,,
angular2-cookies,n/a,angular-cookies,n/a,n/a,n/a,n/a,,,,
ssml,n/a,n/a,n/a,n/a,saml,n/a,,,,
validatr,n/a,n/a,n/a,n/a,validate,n/a,,,,
copi,n/a,n/a,n/a,n/a,copy,n/a,,,,
rec,n/a,n/a,n/a,n/a,ref,n/a,,,,
chao,n/a,n/a,n/a,n/a,chai,n/a,,,,
routed,n/a,n/a,n/a,n/a,router,n/a,,,,
dbjs,n/a,n/a,n/a,n/a,fbjs,n/a,,,,
react-native-nprogress,n/a,react-native-progress,n/a,n/a,n/a,n/a,,,,
kra,n/a,n/a,n/a,n/a,ora,n/a,,,,
json-export,n/a,jsonexport,n/a,jsonexport,jsonexport,n/a,,,,
loadsh,n/a,n/a,lodash,n/a,n/a,n/a,,,,
module-parent,n/a,n/a,n/a,parent-module,n/a,n/a,,,,
styles-loader,n/a,style-loader,n/a,n/a,n/a,n/a,,,,
react-dates2,n/a,n/a,n/a,n/a,n/a,react-dates,,,,
definer,n/a,n/a,n/a,n/a,defined,n/a,,,,
utol,n/a,n/a,n/a,n/a,util,n/a,,,,
gulp-tcoffee,n/a,gulp-coffee,n/a,n/a,n/a,n/a,,,,
tempfile2,n/a,n/a,n/a,n/a,n/a,tempfile,,,,
jq,n/a,n/a,qj,n/a,n/a,n/a,,,,
node-hwid,n/a,node-hid,n/a,n/a,n/a,n/a,,,,
qrcodejs3,n/a,n/a,n/a,n/a,qrcodejs2,n/a,,,,
vuen-echarts,n/a,vue-echarts,n/a,n/a,n/a,n/a,,,,
#NAME?,n/a,n/a,n/a,n/a,#NAME?,n/a,,,,
vls,n/a,n/a,n/a,n/a,vis,n/a,,,,
sal,n/a,n/a,n/a,n/a,sql,n/a,,,,
tabs.react,n/a,n/a,n/a,react-tabs,n/a,n/a,,,,
preact-codemirror,n/a,react-codemirror,n/a,n/a,n/a,n/a,,,,
is_native,n/a,n/a,n/a,is-native,is-native,n/a,,,,
mockhs,n/a,n/a,n/a,n/a,mockjs,n/a,,,,
sm,n/a,n/a,ms,n/a,n/a,n/a,,,,
finisher,n/a,n/a,n/a,n/a,finished,n/a,,,,
n0de,n/a,n/a,n/a,n/a,node,n/a,,,,
oconnect,n/a,connect,n/a,n/a,n/a,n/a,,,,
hlp,n/a,n/a,n/a,n/a,hpp,n/a,,,,
rmrf,n/a,n/a,rmfr,n/a,n/a,n/a,,,,
mysqlw,n/a,n/a,n/a,n/a,mysql2,n/a,,,,
retrie,n/a,n/a,retire,n/a,n/a,n/a,,,,
is_email,n/a,isemail,n/a,isemail,isemail,n/a,,,,
hint.js,n/a,n/a,n/a,jshint,n/a,n/a,,,,
gulp-css-iconfont,n/a,n/a,n/a,gulp-iconfont-css,n/a,n/a,,,,
aspa,n/a,n/a,asap,n/a,n/a,n/a,,,,
ui-select4,n/a,n/a,n/a,n/a,n/a,ui-select,,,,
vue-cli2,n/a,n/a,n/a,n/a,n/a,vue-cli,,,,
ezzy-logger,n/a,n/a,n/a,n/a,eazy-logger,n/a,,,,
preact-list,n/a,react-list,n/a,n/a,n/a,n/a,,,,
printd,n/a,n/a,n/a,n/a,printf,n/a,,,,
jsa,n/a,n/a,n/a,n/a,jwa,n/a,,,,
connect-mongo-2,n/a,n/a,n/a,n/a,n/a,connect-mongo,,,,
tswarm-js,n/a,swarm-js,n/a,n/a,n/a,n/a,,,,
closest-element,n/a,n/a,n/a,element-closest,n/a,n/a,,,,
par,n/a,n/a,n/a,n/a,pad,n/a,,,,
ner,n/a,n/a,n/a,n/a,net,n/a,,,,
react-toggler,n/a,n/a,n/a,n/a,react-toggled,n/a,,,,
tspconfig,n/a,tsconfig,n/a,n/a,n/a,n/a,,,,
ccr,n/a,n/a,crc,n/a,n/a,n/a,,,,
package6,n/a,n/a,n/a,n/a,n/a,package,,,,
blom,n/a,n/a,n/a,n/a,boom,n/a,,,,
jawk,n/a,n/a,n/a,n/a,hawk,n/a,,,,
calendar2,n/a,n/a,n/a,n/a,n/a,calendar,,,,
qh,n/a,n/a,n/a,n/a,qj,n/a,,,,
line-break,n/a,linebreak,n/a,linebreak,linebreak,n/a,,,,
linkie,n/a,n/a,n/a,n/a,pinkie,n/a,,,,
yarbs,n/a,n/a,n/a,n/a,yargs,n/a,,,,
html-2-canvas,n/a,n/a,n/a,html2canvas,n/a,n/a,,,,
slugify3,n/a,n/a,n/a,n/a,n/a,slugify,,,,
motion-react,n/a,n/a,n/a,react-motion,n/a,n/a,,,,
npw,n/a,n/a,n/a,n/a,now,n/a,,,,
react-drop-zone,n/a,react-dropzone,n/a,n/a,react-dropzone,n/a,,,,
ie,n/a,n/a,n/a,n/a,is,n/a,,,,
testangular,n/a,n/a,n/a,n/a,restangular,n/a,,,,
irx,n/a,n/a,n/a,n/a,idx,n/a,,,,
arraybuffer-to-buffer,n/a,n/a,n/a,buffer-to-arraybuffer,n/a,n/a,,,,
eql,n/a,n/a,n/a,n/a,sql,n/a,,,,
fsv,n/a,n/a,n/a,n/a,csv,n/a,,,,
rx7,n/a,n/a,n/a,n/a,n/a,rx,,,,
kade,n/a,n/a,n/a,n/a,jade,n/a,,,,
inly,n/a,n/a,n/a,n/a,only,n/a,,,,
bideo.js,n/a,n/a,n/a,n/a,video.js,n/a,,,,
jpp,n/a,n/a,n/a,n/a,hpp,n/a,,,,
cxxt,n/a,n/a,n/a,n/a,ccxt,n/a,,,,
media-query,n/a,mediaquery,n/a,mediaquery,mediaquery,n/a,,,,
rcr,n/a,n/a,n/a,n/a,rc4,n/a,,,,
scookie,n/a,cookie,n/a,n/a,n/a,n/a,,,,
jok,n/a,n/a,n/a,n/a,joi,n/a,,,,
upath2,n/a,n/a,n/a,n/a,n/a,upath,,,,
xebug,n/a,n/a,n/a,n/a,debug,n/a,,,,
json-6,n/a,n/a,n/a,n/a,n/a,json,,,,
umr,n/a,n/a,n/a,n/a,umd,n/a,,,,
gpackage,n/a,package,n/a,n/a,n/a,n/a,,,,
simple-react-dropdown,n/a,n/a,n/a,react-simple-dropdown,n/a,n/a,,,,
pnm,n/a,n/a,npm,n/a,n/a,n/a,,,,
react-native-xmodal,n/a,react-native-modal,n/a,n/a,n/a,n/a,,,,
flat-array-polyfill,n/a,n/a,n/a,array-flat-polyfill,n/a,n/a,,,,
react-truncate-text,n/a,n/a,n/a,react-text-truncate,n/a,n/a,,,,
pretty-js,n/a,n/a,n/a,n/a,pretty-ms,n/a,,,,
vuex-resource,n/a,vue-resource,n/a,n/a,n/a,n/a,,,,
textr-loader,n/a,text-loader,n/a,n/a,n/a,n/a,,,,
json-to-xml,n/a,n/a,n/a,jsontoxml,n/a,n/a,,,,
vue-infinite-iscroll,n/a,vue-infinite-scroll,n/a,n/a,n/a,n/a,,,,
rv-table,n/a,n/a,n/a,n/a,rc-table,n/a,,,,
ync,n/a,n/a,nyc,n/a,n/a,n/a,,,,
icheck-2,n/a,n/a,n/a,n/a,n/a,icheck,,,,
bsplit2,n/a,split2,n/a,n/a,n/a,n/a,,,,
oview,n/a,n/a,n/a,n/a,iview,n/a,,,,
async-reach,n/a,async-each,n/a,n/a,n/a,n/a,,,,
zrrender,zrender,zrender,n/a,n/a,n/a,n/a,,,,
kess,n/a,n/a,n/a,n/a,less,n/a,,,,
slocccc,sloc,n/a,n/a,n/a,n/a,n/a,,,,
cd,n/a,n/a,dc,n/a,fd,n/a,,,,
js-xml,n/a,n/a,n/a,xml-js,n/a,n/a,,,,
js-browser,n/a,n/a,n/a,n/a,is-browser,n/a,,,,
vue2-click-outside,n/a,vue-click-outside,n/a,n/a,n/a,n/a,,,,
experss,n/a,n/a,express,n/a,n/a,n/a,,,,
lump,n/a,n/a,n/a,n/a,pump,n/a,,,,
cts,n/a,n/a,cst,n/a,n/a,n/a,,,,
requetst,n/a,request,n/a,n/a,n/a,n/a,,,,
gmp,n/a,n/a,n/a,n/a,tmp,n/a,,,,
neet,net,n/a,n/a,n/a,n/a,n/a,,,,
mru,n/a,n/a,n/a,n/a,mri,n/a,,,,
js-html,n/a,n/a,n/a,n/a,is-html,n/a,,,,
lazzzy,lazy,n/a,n/a,n/a,n/a,n/a,,,,
ng5-infinite-scroll,n/a,ng-infinite-scroll,n/a,n/a,n/a,n/a,,,,
jp,n/a,n/a,n/a,n/a,ip,n/a,,,,
rs,n/a,n/a,n/a,n/a,fs,n/a,,,,
karma-coffee2-preprocessor,n/a,karma-coffee-preprocessor,n/a,n/a,n/a,n/a,,,,
wall,n/a,n/a,n/a,n/a,walk,n/a,,,,
winston-express,n/a,n/a,n/a,express-winston,n/a,n/a,,,,
wuf,n/a,n/a,n/a,n/a,wif,n/a,,,,
update9,n/a,n/a,n/a,n/a,n/a,update,,,,
laazy,lazy,n/a,n/a,n/a,n/a,n/a,,,,
ssap,n/a,n/a,n/a,n/a,asap,n/a,,,,
node-flow,n/a,n/a,n/a,node.flow,node.flow,n/a,,,,
data-form,n/a,n/a,n/a,form-data,n/a,n/a,,,,
ignored-loader,n/a,ignore-loader,n/a,n/a,n/a,n/a,,,,
wax,n/a,n/a,n/a,n/a,sax,n/a,,,,
react-date-time,n/a,react-datetime,n/a,n/a,react-datetime,n/a,,,,
eventus,n/a,events,n/a,n/a,n/a,n/a,,,,
phone2,n/a,n/a,n/a,n/a,n/a,phone,,,,
blobs,n/a,n/a,n/a,n/a,globs,n/a,,,,
nson,n/a,n/a,n/a,n/a,bson,n/a,,,,
cmd-node,n/a,n/a,n/a,node-cmd,n/a,n/a,,,,
html1,n/a,n/a,n/a,n/a,n/a,html,,,,
cbot,n/a,n/a,n/a,n/a,cbor,n/a,,,,
promise-retry2,n/a,n/a,n/a,n/a,n/a,promise-retry,,,,
pweb3-core-subscriptions,n/a,web3-core-subscriptions,n/a,n/a,n/a,n/a,,,,
z-lib,n/a,n/a,n/a,zlib,zlib,n/a,,,,
saccept,n/a,accept,n/a,n/a,n/a,n/a,,,,
sp,n/a,n/a,n/a,n/a,ap,n/a,,,,
json8-merge-patch,n/a,json-merge-patch,n/a,n/a,n/a,n/a,,,,
test-2,n/a,n/a,n/a,n/a,n/a,test,,,,
ffb,fb,n/a,n/a,n/a,cfb,n/a,,,,
jstx,n/a,n/a,n/a,n/a,jstz,n/a,,,,
threadjs,n/a,threads,n/a,n/a,n/a,n/a,,,,
