package_name,repeated_characters,omitted_characters,swapped_characters,swapped_words,common_typos,version_numbers
configr,n/a,config,n/a,n/a,n/a,n/a
minik,n/a,n/a,n/a,n/a,minio,n/a
pykd,n/a,n/a,n/a,n/a,pyod,n/a
redys,n/a,n/a,n/a,n/a,redis,n/a
filetypes,n/a,filetype,n/a,n/a,n/a,n/a
suds2,n/a,n/a,n/a,n/a,n/a,suds
aws-encyrption-sdk,n/a,n/a,aws-encryption-sdk,n/a,n/a,n/a
dace,n/a,n/a,n/a,n/a,face,n/a
fabric2,n/a,fabric,n/a,n/a,fabric3,fabric
cparse,n/a,n/a,n/a,n/a,dparse,n/a
tcx,n/a,n/a,n/a,n/a,tfx,n/a
django-pytest,n/a,n/a,n/a,pytest-django,n/a,n/a
daal,n/a,n/a,adal,n/a,n/a,n/a
tdjango,n/a,django,n/a,n/a,n/a,n/a
prof,n/a,n/a,n/a,n/a,prov,n/a
pyhs3,n/a,n/a,n/a,n/a,pyhs2,n/a
ofs,n/a,n/a,n/a,n/a,ovs,n/a
ghtools,n/a,n/a,hgtools,n/a,n/a,n/a
awd,n/a,n/a,n/a,n/a,aws,n/a
fuel,n/a,n/a,n/a,n/a,furl,n/a
ipytest,n/a,pytest,n/a,n/a,n/a,n/a
qy,n/a,n/a,yq,n/a,n/a,n/a
piglet,n/a,n/a,n/a,n/a,pyglet,n/a
automate,n/a,automat,n/a,n/a,n/a,n/a
glaze,n/a,n/a,n/a,n/a,blaze,n/a
config-parser,n/a,configparser,n/a,configparser,configparser,n/a
pygithub3,n/a,pygithub,n/a,n/a,n/a,pygithub
ecoe,n/a,n/a,n/a,n/a,ecos,n/a
rox,n/a,n/a,n/a,n/a,tox,n/a
blazee,blaze,n/a,n/a,n/a,n/a,n/a
oauth2-client,n/a,oauth2client,n/a,oauth2client,oauth2client,n/a
py-type,n/a,n/a,n/a,typepy,n/a,n/a
gkeyring,n/a,keyring,n/a,n/a,n/a,n/a
axarray,n/a,xarray,n/a,n/a,n/a,n/a
sshh,sh,n/a,n/a,n/a,n/a,n/a
pysctp,n/a,n/a,n/a,n/a,pysftp,n/a
epygame,n/a,pygame,n/a,n/a,n/a,n/a
prob,n/a,n/a,n/a,n/a,prov,n/a
parselx,n/a,parsel,n/a,n/a,n/a,n/a
python3-ldap,n/a,python-ldap,n/a,n/a,n/a,n/a
mamo,n/a,n/a,n/a,n/a,mako,n/a
flint,n/a,n/a,n/a,n/a,clint,n/a
npack,n/a,n/a,n/a,n/a,hpack,n/a
motto,moto,n/a,n/a,n/a,n/a,n/a
cryptio,n/a,crypto,n/a,n/a,n/a,n/a
plogger,n/a,logger,n/a,n/a,n/a,n/a
pyltp,n/a,n/a,n/a,n/a,pyotp,n/a
sms,n/a,n/a,mss,n/a,n/a,n/a
passwords,n/a,password,n/a,n/a,n/a,n/a
nptable,n/a,ptable,n/a,n/a,n/a,n/a
acp,n/a,n/a,n/a,n/a,scp,n/a
datetime2,n/a,datetime,n/a,n/a,n/a,datetime
tet,n/a,n/a,n/a,n/a,get,n/a
dlex,n/a,n/a,n/a,n/a,flex,n/a
