package_name,total_packages_installed,normal_time,typosquatting_time,difference,overhead,,,
lodash.some,1,1.2399957,1.4241911,0.1841954,0.148545193,,,
is-relative,3,1.5034214,1.5999797,0.0965583,0.064225705,,,
agent-base,3,1.7282203,1.6109558,-0.1172645,-0.06785275,,,average number of packages installed per package
postcss-value-parser,1,1.4838157,1.5756467,0.091831,0.061888414,,,14.976
asap,1,1.2640144,1.6393106,0.3752962,0.296908168,,,
base,36,3.7586769,3.2208801,-0.5377968,-0.143081413,,,average install time without scan (seconds)
babel-plugin-transform-es2015-block-scoping,26,4.0253263,3.9520091,-0.0733172,-0.018213977,,,2.604781101
node-fetch,1,1.5454665,1.8257043,0.2802378,0.181328939,,,
file-type,11,1.8846363,2.1892587,0.3046224,0.161634582,,,average install time with scan (seconds)
jest-diff,19,2.9212785,2.8684564,-0.0528221,-0.018081843,,,2.668755531
#NAME?,57,4.0645659,4.2176657,0.1530998,0.03766695,,,
p-defer,1,1.317125,1.4670288,0.1499038,0.113811369,,,average slowdown (seconds)
asynckit,1,1.5658567,1.671714,0.1058573,0.06760344,,,0.06397443
lolex,3,1.4360465,1.7247085,0.288662,0.201011597,,,
window-size,9,1.5344703,2.0217595,0.4872892,0.317561832,,,average overhead (%)
object-keys,1,1.2835733,1.7882838,0.5047105,0.393207384,,,2.45603862
nullthrows,1,1.353632,1.5379601,0.1843281,0.136172978,,,
require-context.macro,2,1.3122284,1.3163282,0.0040998,0.003124304,,,
es6-map,12,4.2082658,4.4704663,0.2622005,0.062306069,,,
logalot,57,4.9084308,5.0487058,0.140275,0.02857838,,,
binary-extensions,1,1.4791135,1.6120528,0.1329393,0.089877687,,,
JSONStream,3,1.4249979,1.4582541,0.0332562,0.023337719,,,
arr-map,3,1.7070357,1.6842549,-0.0227808,-0.013345239,,,
lodash.get,1,1.3735371,1.3324632,-0.0410739,-0.029903743,,,
has-unicode,1,1.4669038,1.5102753,0.0433715,0.029566697,,,
postcss,10,1.6694667,2.0299417,0.360475,0.215922246,,,
invariant,3,1.5319875,1.7454016,0.2134141,0.139305379,,,
#NAME?,2,1.5172795,1.421903,-0.0953765,-0.062860205,,,
feature-policy,1,1.297459,1.472612,0.175153,0.134996944,,,
glamorous,11,2.2165585,1.8990825,-0.317476,-0.143229245,,,
assert,25,3.7444672,3.9775659,0.2330987,0.0622515,,,
babel-helper-is-nodes-equiv,1,1.6906175,32.4478487,30.7572312,18.19289768,,,
brace-expansion,3,1.6474494,1.7174883,0.0700389,0.042513536,,,
#NAME?,4,1.6488707,1.7904675,0.1415968,0.085875017,,,
css-loader,36,3.9191143,3.9253744,0.0062601,0.001597325,,,
ms,1,1.25795,1.4642247,0.2062747,0.163976867,,,
decompress-response,2,1.4069667,1.4234103,0.0164436,0.01168727,,,
spdx-exceptions,1,1.4302299,1.4759676,0.0457377,0.031979264,,,
map-stream,1,1.2934782,1.4292127,0.1357345,0.104937602,,,
realpath-native,1,1.2389762,1.4530011,0.2140249,0.172743351,,,
debug,2,1.3086559,1.4541944,0.1455385,0.111212199,,,
private,1,1.3465035,1.3250898,-0.0214137,-0.015903189,,,
rework,11,1.9977391,1.8421529,-0.1555862,-0.077881141,,,
cli-cursor,5,1.540461,1.7464821,0.2060211,0.1337399,,,
entities,1,1.3826476,1.5670606,0.184413,0.133376719,,,
lowlight,4,2.0062435,1.8565996,-0.1496439,-0.074589101,,,
doctrine,2,1.3954614,1.5882336,0.1927722,0.138142266,,,
#NAME?,1,2.2727634,1.6422241,-0.6305393,-0.277432882,,,
tweetnacl,1,1.2889917,1.532803,0.2438113,0.189148852,,,
webpack-addons,186,15.0455918,14.0022193,-1.0433725,-0.069347389,,,
#NAME?,2,1.5851331,1.6595419,0.0744088,0.046941673,,,
prelude-ls,1,1.5752978,1.471872,-0.1034258,-0.065654761,,,
resolve,2,1.4016461,1.5630166,0.1613705,0.115129275,,,
es-to-primitive,5,1.7414491,1.7141029,-0.0273462,-0.015703129,,,
whatwg-fetch,1,1.5778375,1.4095535,-0.168284,-0.106654836,,,
graphql-playground-html,1,1.3119809,1.3135635,0.0015826,0.001206268,,,
p-locate,3,1.5767183,1.5049174,-0.0718009,-0.045538192,,,
http-parser-js,1,1.424687,1.5057721,0.0810851,0.056914326,,,
react-transition-group,10,2.5298102,2.3167763,-0.2130339,-0.08420944,,,
string.prototype.trimleft,4,1.5017056,1.595061,0.0933554,0.062166246,,,
saxes,2,1.2251676,1.4749737,0.2498061,0.203895451,,,
ip,1,1.3122006,1.7752939,0.4630933,0.352913495,,,
pid-from-port,17,2.580114,2.0734832,-0.5066308,-0.196359851,,,
#NAME?,2,2.2733662,1.586611,-0.6867552,-0.302087363,,,
#NAME?,28,3.477705,3.6584651,0.1807601,0.051976835,,,
type-check,2,1.5285392,1.5721687,0.0436295,0.028543265,,,
es5-ext,8,3.8092228,4.0334707,0.2242479,0.058869725,,,
use,1,1.4125703,1.2700506,-0.1425197,-0.100893881,,,
babel-loader,20,2.6336904,2.7393926,0.1057022,0.040134634,,,
isstream,1,1.3626195,1.590334,0.2277145,0.167115251,,,
color-name,1,1.2768631,1.3986842,0.1218211,0.095406547,,,
har-validator,8,2.2712365,1.969173,-0.3020635,-0.132995177,,,
jest-environment-jsdom,379,27.3684854,27.8015715,0.4330861,0.015824263,,,
handle-thing,1,1.4920422,1.3810959,-0.1109463,-0.074358688,,,
file-type,11,2.066645,2.2404648,0.1738198,0.084107237,,,
read-pkg,29,3.1705185,3.1786395,0.008121,0.002561411,,,
optimize-css-assets-webpack-plugin,144,15.5363666,15.5146915,-0.0216751,-0.00139512,,,
webpack-subresource-integrity,4,2.0602059,1.9046964,-0.1555095,-0.075482504,,,
frac,1,1.4751285,1.7263242,0.2511957,0.170287334,,,
#NAME?,2,7.2993418,7.4392778,0.139936,0.019171044,,,
web-namespaces,1,1.4024932,2.5261136,1.1236204,0.80115925,,,
imagemin-mozjpeg,219,13.7568979,14.6700511,0.9131532,0.066377842,,,
loader-runner,1,1.3357225,1.5706222,0.2348997,0.175859656,,,
assign-symbols,1,1.7069024,1.3149052,-0.3919972,-0.229654138,,,
#NAME?,5,1.8561668,1.8565644,0.0003976,0.000214205,,,
concat-stream,8,1.8151238,1.7019135,-0.1132103,-0.062370567,,,
md5,4,1.4613212,1.7002405,0.2389193,0.163495404,,,
bowser,1,1.3272344,1.3247708,-0.0024636,-0.001856191,,,
#NAME?,11,2.2896949,2.3097424,0.0200475,0.008755533,,,
flatted,1,1.5052936,1.4575386,-0.047755,-0.031724708,,,
marker-clusterer-plus,1,1.3708072,1.3493448,-0.0214624,-0.01565676,,,
warning,3,1.5677832,1.5615531,-0.0062301,-0.003973828,,,
opn,2,1.5530992,1.4659315,-0.0871677,-0.056125005,,,
kleur,1,1.4861547,1.5486526,0.0624979,0.042053428,,,
