package_name,weekly_downloads,repeated_characters,omitted_characters,swapped_characters,swapped_words,common_typos,version_numbers
o-back,0,,,,backo,,
ng2-dialog,3,,ng-dialog,,,,
react-native-mswiper,2,,react-native-swiper,,,,
react-dart,1,,react-art,,,,
await,2951,,,waait,,,
jes,68,,,ejs,,jss,
animate.scss,89,,animate.css,,,,
vue9,8,,,,,,vue
cookier,16,,cookie,,,,
mobx-preact,365,,mobx-react,,,,
revalue,1,,,,,devalue,
qd,2,,,,,wd,
youtube-react,2,,,,react-youtube,,
removed,14,,remove,,,,
globalc,1,,global,,,,
war3,0,,,,,ware,
sed,20,,,,,sec,
assert6,0,,assert,,,,assert
@typed/i18next,4,,,,,@types/i18next,
dmr,0,,,,,dmd,
angular4-highcharts,0,,angular-highcharts,,,,
streamf,5,,stream,,,,
raf-core,1,,ra-core,,,,
markdowny,1,,markdown,,,,
appium-uiautomator2-driver-1,0,,,,,,appium-uiautomator2-driver
nodemin,19,,,,,nodemon,
hostfile,0,,hostile,,,,
cpu,70,,,,,cpy,
sjv,38,,,,,ajv,
blog,24,,,,,blob,
obj-map,1,,,,map-obj,,
write-json5-file,7916,,write-json-file,,,,
serverless-dynamodb-local-2,1,,,,,,serverless-dynamodb-local
striped,2,,stripe,,,,
amo,0,,,,,amp,
fb3,1,,,,,,fb
bats,2087,,,,,nats,
ascii,136,,,,,ascli,
gyft,1,,,,,gift,
nz,2,,,,,mz,
js-promise,20,,,,,is-promise,
express-validators,17,,express-validator,,,,
react-swipey,1,,react-swipe,,,,
react-time-ago,6802,,react-timeago,,,react-timeago,
pretty-format2,9599,,pretty-format,,,,pretty-format
unused-files-webpack-plugin2,1,,unused-files-webpack-plugin,,,,unused-files-webpack-plugin
rum-node,1,,,,,run-node,
ipath,5,,,,,upath,
pstream,1,,stream,,,,
grunt-contrib-lib,51,,,,grunt-lib-contrib,,
iauth,1,,,,,oauth,
servir,4,,,,,servie,
preact-deep-force-update,2,,react-deep-force-update,,,,
jsbot,0,,,,,isbot,
replace_stream,1,,replacestream,,replacestream,replacestream,
pakooo,4,pako,,,,,
webapack,21,,webpack,,,,
misc,53,,,imsc,,,
update2,1,,update,,,,update
botl,0,,,bolt,,,
jsbarcode2,1,,jsbarcode,,,,jsbarcode
fac,1,,,,,cac,
html-elements,2,,html-element,,,,
preact-testing-library,434,,react-testing-library,,,,
zlog4js,40,,log4js,,,,
qlimiter,1,,limiter,,,,
hawk3,1,,,,,,hawk
rapidoc,981,,apidoc,,,,
reworm,16,,,,,rework,
sprint-js,680,,print-js,,,,
iextend,1,,extend,,,,
is-element,102,,iselement,,iselement,iselement,
bindingjs,3,,bindings,,,,
ls-error,1,,,,,is-error,
mydatepicker2,1,,mydatepicker,,,,mydatepicker
react-ls,1,,,,,react-is,
string-replace-loader2,1,,string-replace-loader,,,,string-replace-loader
jni,1,,,,,ini,
cxs,8354,,,,,css,
retty,1,,,,,retry,
ccr,10,,,crc,,,
prerender,5394,,,,,pretender,
bootstrap-daterange-picker,87,,bootstrap-daterangepicker,,,bootstrap-daterangepicker,
mon-go,1,,,,mongo,mongo,
oca,5,,,coa,,,
uup,15,,,,,yup,
jwe,2,,,,,jws,
node-fis,1,,node-fs,,,,
svgx-loader,1,,svg-loader,,,,
js-expression,107,,,,,is-expression,
iexec,332,,,,,kexec,
mkdirpm,1,,mkdirp,,,,
truncated,2,,truncate,,,,
iid,6,,,,,uid,
c2,22,,,,,c3,
collapse-whitespace2,0,,collapse-whitespace,,,,collapse-whitespace
dpath,7,,,,,xpath,
processa,0,,process,,,,
bootstrap-daterangepicker-react,273,,,,react-bootstrap-daterangepicker,,
yak,0,,,,,yam,
stream-websocket,3,,,,websocket-stream,,
uri-path-2,1,,,,,,uri-path
e3,0,,,,,d3,
apexcharts-react,1,,,,react-apexcharts,,
linstall,1,,install,,,,
ims-mobile,3,,is-mobile,,,,
formious,2,,,,,formiojs,
test2,13,,,,,,test
githubs-api,2,,github-api,,,,
bllt,0,,,,,bolt,
load-grunt-configs,4169,,load-grunt-config,,,,
neow,1,,,,,meow,
cofn,0,,,conf,,,
mq-vue,2,,,,vue-mq,,
cunit,0,,,cuint,,,
dassets,0,,assets,,,,
coolor,0,color,,,,,
jaydon,1,,,,,jayson,
fuetify,2,,,,,vuetify,
defy,2,,,,,defu,
event-promisify,1,,,,promisify-event,,
commits,8,,,commist,,,
angular-apollo,3,,,,apollo-angular,,
redwire,58,,rewire,,,,
graphjql,3,,graphql,,,graphiql,
ng2-recaptcha,116,,ng-recaptcha,,,,
jise,1,,,,,nise,
package_1,1,,,,,,package
bugle,42,,,,,buble,
wls,3,,,lws,,,
eslint-watchs,0,,eslint-watch,,,,
spawn-limit,2,,,,limit-spawn,,
ember-radio-buttons,1902,,ember-radio-button,,,,
immed,2,,,,,immer,
iconfig,0,,config,,,,
es6-promises,406,,es6-promise,,,,
ham,9,,,,,yam,
rselect2,8,,select2,,,,
time-ago.js,11,,timeago.js,,,timeago.js,
getaport,0,,getport,,,,
hzrender,20,,zrender,,,,
parser-csv,32,,,,csv-parser,,
promise-middleware-redux,11,,,,redux-promise-middleware,,
material-ui-mdi,0,,,,mdi-material-ui,,
date-range-picker,13,,,,daterangepicker,,
gulp-fun,0,,,,,gulp-run,
nixe,1,,,,,nise,
cml,1,,,,,xml,
cwv,0,,,,,csv,
del-key,1293,,,,key-del,,
coc,5,,,,,voc,
dot3,2,,,,,,dot
refs,69,,,,,defs,
ball,1,,,,,bail,
multiselect-dropdown-angular2,9,,,,angular2-multiselect-dropdown,,
gilp,37,,,,,gulp,
med,1,,,,,jed,
angularx-local-storage,0,,angular-local-storage,,,,
lci,1,,,cli,,,
webpacks,15,,webpack,,,,
viscroll,9,,iscroll,,,,
diii,0,di,,,,,
otpjs,1,,,optjs,,,
async-series-each,0,,,,async-each-series,,
base64_js,0,,,,base64-js,base64-js,
hqs,2,,,,,has,
bin-view,1,,in-view,,,,
bootstrap4,276,,bootstrap,,,,bootstrap
hr,2666,,,,,he,
localstorage-node,1,,,,node-localstorage,,
alang,1,,,,,slang,
wdio-cucumber-framework-5,1,,,,,,wdio-cucumber-framework
econfig,0,,config,,,,
jjade,3295,jade,,,,,
udp,11,,,dup,,,
revents,3,,events,,,,
array-arange,0,,array-range,,,,
omo,1,,,moo,,ono,
xml-to-js,0,,,,jstoxml,,
layout3,1,,layout,,,,layout
js-string,1,,,,,is-string,
react-tooltips,76,,react-tooltip,,,,
rcr,1,,,,,rc4,
node-kafka,10,,,,kafka-node,,
typescript-css-modules-loader,3,,,,css-modules-typescript-loader,,
vcommander,5,,commander,,,,
bootstrapt,10,,bootstrap,,,,
xrouter,1,,router,,,,
bsplit2,0,,split2,,,,
inherit-component,37,,,,component-inherit,,
dpy-cli,3,,,,,cpy-cli,
wbs,2,,,,,wns,
npm-keywords,1,,npm-keyword,,,,
shai,44,,,,,sha1,
gulp-merge-json-2,7,,,,,,gulp-merge-json
reda,1,,,read,,reds,
enqueuer,329,,enqueue,,,,
ts-mockito-2,56,,,,,,ts-mockito
psn-node,3,,ps-node,,,,
omit-deep-2,126,,,,,,omit-deep
gzip-stream,5,,zip-stream,,,,
is-mode,1,,,,,is-node,
promisy,1,,,,,promish,
angular2-elastic,81,,angular-elastic,,,,
vdomify,1,,domify,,,,
nd-array,0,,ndarray,,ndarray,ndarray,
camera-cordova-plugin,1,,,,cordova-plugin-camera,,
svgpath_2,10,,,,,,svgpath
time-machine,2,,timemachine,,timemachine,timemachine,
svuelte,1,,svelte,,,,
globalx,1,,global,,,globals,
react-scrolla,10,,react-scroll,,,,
array-shuffle,11579,,,,shuffle-array,,
hint.js,2,,,,jshint,,
express-validator2,0,,express-validator,,,,express-validator
heal,1,,,,,heap,
is-relative-uri,7,,,,,is-relative-url,
bar,212,,,,,gar,
ngrok2,1,,,,,,ngrok
url.resolve,1,,,,resolve-url,,
inspect-object,1,,,,object-inspect,,
pmz,1,,,,,pmx,
rq,6,,,,,r2,
rekwire,1,,rewire,,,,
ansi-up,2,,,,ansi_up,ansi_up,
munio,0,,,,,minio,
preact-datepicker,1,,react-datepicker,,,,
hit-formula-parser,0,,,,,hot-formula-parser,
wate,3,,,,,ware,
dstream,0,,stream,,,fstream,
gitt,1,,,,,gift,
dmoment,0,,moment,,,,
enabler,2,,enable,,,enabled,
scrolla,1,,scroll,,,,
bawk,0,,,,,hawk,
uhistory,1,,history,,,,
chunked,0,,chunkd,,,,
semaver,1,,semver,,,,
tslintx,112,,tslint,,,,
gpp,13,,,,,hpp,
nlit-html,39,,lit-html,,,,
concat-maps,116,,concat-map,,,,
jconfig,2,,config,,,,
redux-thunkx,1,,redux-thunk,,,,
kong,5,,,,,long,
localez,1,,locale,,,,
kade,0,,,,,jade,
parser,673,,,,,parse5,
hash,7452,,,,,nash,
lodahs,4,,,lodash,,,
node-watchd,1,,node-watch,,,,
sha256d,2,,sha256,,,,
spawns,25,,,,,spawnd,
react-onclick-outside,20,,react-onclickoutside,,,react-onclickoutside,
colours,56,,colors,,,,
wjs,2,,,jws,,ejs,
lazu,0,,,,,lazy,
web2driver,26,,webdriver,,,,
quill2,30,,,,,,quill
slib,3,,,,,zlib,
protobuf.js,84,,protobufjs,,protobufjs,protobufjs,
dbuf,1,,,,,dbug,
elements-ui,26,,element-ui,,,,
react-form-hook,14,,,,react-hook-form,,
vue7,1,,,,,,vue
liste,1,,,,,listr,
test-1,1,,,,,,test
amkdirp,813,,mkdirp,,,,
jecs,1,,,,,jscs,
vue2-cli,0,,vue-cli,,,,
jvm,13,,,,,uvm,
requestt,1,request,request,,,,
autoprefixer-5,4,,,,,,autoprefixer
uscs,1,,,,,jscs,
dpt,3,,,,,dot,
strings,203,,string,,,,
leaflet-react,7,,,,react-leaflet,,
nco,2733,,,,,ncp,
rte,3,,,ret,,,
giiift,0,gift,,,,,
rreplace,1,replace,replace,,,,
selectx,1,,select,,,,
assignment5,0,,assignment,,,,assignment
min-dom-1,0,,,,,,min-dom
support-color,8,,,,color-support,,
class-validator2,2,,class-validator,,,,class-validator
react-iconsx,1,,react-icons,,,,
winstall,1,,install,,,,
editora,1,,editor,,,,
react-datepicker1,1,,react-datepicker,,,,react-datepicker
crypt3,3074,,,,,,crypt
prismjs2,1,,prismjs,,,,prismjs
2,653,,,,,q,
pem-to-jwk,9,,,,jwk-to-pem,,
needles,4,,needle,,,,
mqlobber,116,,qlobber,,,,
co-stream,195,,o-stream,,,,
grix,1,,,,,trix,
exm,2,,,,,esm,
yui3,93,,,,,,yui
slant,2,,,,,slang,
js-svg-path,26,,,,,is-svg-path,
hash-require,1,,has-require,,,,
matt,3,,,,,mqtt,
pax,33,,,,,pad,
dai,2,,,,,rai,
expl,0,,,,,expo,
prm,2,,,,,pem,
rer,2,,,err,,ret,
lot,0,,,,,log,
fb-graph,3,,fbgraph,,fbgraph,fbgraph,
isq,4,,,,,is2,
ntc,173,,,,,nyc,
mock2js,1,,mockjs,,,,
iver,2,,,,,over,
three2,1,,,,,,three
iop,1,,,,,lop,
react-uix,81,,,,,react-uid,
jsys,1,,,,,jsts,
jz,1,,,,,mz,
test6,1,,,,,,test
arrays-union,1,,array-union,,,,
colormaps,2,,colormap,,,,
xml.to_json,0,,,,jsontoxml,,
puh,2,,,,,pug,
grunt-yjsdoc,0,,grunt-jsdoc,,,,
reed,5,,,,,feed,
bpmn-moddle-3,0,,,,,,bpmn-moddle
pingpoint,1,,pinpoint,,,,
json-pretty,352,,,,prettyjson,,
allex,5,alex,,,,,
eargs,0,,,,,dargs,
eslint-plugin-prettierx,346,,eslint-plugin-prettier,,,,
protoc-gen-ts,63,,,,ts-protoc-gen,,
color-picker-react-native,5,,,,react-native-color-picker,,
react-range-input,1,,,,react-input-range,,
ng2-click-outside,32,,ng-click-outside,,,,
cache-stream,0,,,,stream-cache,,
tss-loader,1,ts-loader,ts-loader,,,,
rshelljs,1,,shelljs,,,,
file-stats,4,,file-stat,,,,
nodec,2,,,,,bodec,
bif.js,0,,,,,big.js,
selectise,6,,,,,selectize,
js.sortable,11,,,,sortablejs,,
esprintf,1,,sprintf,,,,
string-magic,1,,,,magic-string,,
elastic-search,2,,elasticsearch,,elasticsearch,elasticsearch,
upresent,2,,present,,,,
read-chunks,0,,read-chunk,,,,
vdom-serialize,32,,dom-serialize,,,,
graphqly,1,,graphql,,,,
object.is,1,,,,object-is,object-is,
domy,3,,,,,dom7,
apidox,34,,,,,apidoc,
gulp-tinstall,0,,gulp-install,,,,
aabb,1,,,abab,,,
lazy-eval,52,,lazy-val,,,,
imockjs,1,,mockjs,,,,
fs-rsync,2,,fs-sync,,,,
inherito,8,,inherit,,,,
guild,1361,,,,,build,
sss,3,,,,,xss,
