package_name,repeated_characters,omitted_characters,swapped_characters,swapped_words,common_typos,version_numbers,,,,
flexx,flex,n/a,n/a,n/a,n/a,n/a,,,,count
piglet,n/a,n/a,n/a,n/a,pyglet,n/a,,,repeated chars,40
shhh,sh,n/a,n/a,n/a,n/a,n/a,,,omitted chars,412
fet,n/a,n/a,n/a,n/a,get,n/a,,,swapped chars,63
molecules,n/a,molecule,n/a,n/a,n/a,n/a,,,swapped words,77
exos,n/a,n/a,n/a,n/a,ecos,n/a,,,common typos,533
cash,n/a,n/a,n/a,n/a,dash,n/a,,,version numbers,116
sparse,n/a,n/a,n/a,n/a,dparse,n/a,,,,1241
he,n/a,n/a,n/a,n/a,h3,n/a,,,,
flask-api-spec,n/a,flask-apispec,n/a,n/a,flask-apispec,n/a,,,,
Paved,n/a,n/a,n/a,n/a,Paver,n/a,,,,
spath,n/a,n/a,n/a,n/a,dpath,n/a,,,,
fcrypto,n/a,crypto,n/a,n/a,n/a,n/a,,,,
ppvt,n/a,n/a,n/a,n/a,ppft,n/a,,,,
pi,n/a,n/a,n/a,n/a,py,n/a,,,,
pygma,n/a,n/a,pygam,n/a,n/a,n/a,,,,
pyfakers,n/a,n/a,n/a,n/a,pyfakefs,n/a,,,,
ansilbe,n/a,n/a,ansible,n/a,n/a,n/a,,,,
pyzt,n/a,n/a,pytz,n/a,n/a,n/a,,,,
allabaster,alabaster,alabaster,n/a,n/a,n/a,n/a,,,,
pysctp,n/a,n/a,n/a,n/a,pysftp,n/a,,,,
dasi,n/a,n/a,n/a,n/a,dask,n/a,,,,
node,n/a,n/a,n/a,n/a,nose,n/a,,,,
xml2json,n/a,xmljson,n/a,n/a,n/a,n/a,,,,
temporal,n/a,tempora,n/a,n/a,n/a,n/a,,,,
parma,n/a,n/a,param,n/a,n/a,n/a,,,,
jet,n/a,n/a,n/a,n/a,jwt,n/a,,,,
pyy,py,n/a,n/a,n/a,n/a,n/a,,,,
kyaml,n/a,n/a,n/a,n/a,oyaml,n/a,,,,
piptools,n/a,iptools,n/a,n/a,n/a,n/a,,,,
py2,n/a,n/a,n/a,n/a,n/a,py,,,,
pyppeteer2,n/a,pyppeteer,n/a,n/a,n/a,pyppeteer,,,,
flom,n/a,n/a,n/a,n/a,glom,n/a,,,,
chevrons,n/a,chevron,n/a,n/a,n/a,n/a,,,,
wsgiref,n/a,n/a,n/a,n/a,asgiref,n/a,,,,
Pyrebase4,n/a,Pyrebase,n/a,n/a,n/a,Pyrebase,,,,
django-ratelimit2,n/a,django-ratelimit,n/a,n/a,n/a,django-ratelimit,,,,
imgutils,n/a,imutils,n/a,n/a,n/a,n/a,,,,
auto-semver,n/a,autosemver,n/a,autosemver,autosemver,n/a,,,,
tweepi,n/a,n/a,n/a,n/a,tweepy,n/a,,,,
rw,n/a,n/a,n/a,n/a,rq,n/a,,,,
midentify,n/a,identify,n/a,n/a,n/a,n/a,,,,
oolib,n/a,n/a,n/a,n/a,polib,n/a,,,,
nose2-cov,n/a,nose-cov,n/a,n/a,n/a,n/a,,,,
Flask-Bootstrap4,n/a,Flask-Bootstrap,n/a,n/a,n/a,Flask-Bootstrap,,,,
jenkins2api,n/a,jenkinsapi,n/a,n/a,n/a,n/a,,,,
zcs,n/a,n/a,n/a,n/a,scs,n/a,,,,
svp,n/a,n/a,n/a,n/a,scp,n/a,,,,
h1,n/a,n/a,n/a,n/a,h2,n/a,,,,
colorex,n/a,n/a,n/a,n/a,colored,n/a,,,,
trequests,n/a,requests,n/a,n/a,grequests,n/a,,,,
snap,n/a,n/a,n/a,n/a,shap,n/a,,,,
aws-encrpytion-sdk-cli,n/a,n/a,aws-encryption-sdk-cli,n/a,n/a,n/a,,,,
jpprint,n/a,pprint,n/a,n/a,n/a,n/a,,,,
utils2,n/a,n/a,n/a,n/a,n/a,utils,,,,
amap,n/a,n/a,n/a,n/a,amqp,n/a,,,,
tlp,n/a,n/a,n/a,n/a,rlp,n/a,,,,
gsat,n/a,n/a,gast,n/a,n/a,n/a,,,,
glim,n/a,n/a,n/a,n/a,glom,n/a,,,,
json_schema,n/a,jsonschema,n/a,jsonschema,jsonschema,n/a,,,,
apyclient,n/a,n/a,n/a,n/a,apiclient,n/a,,,,
msd,n/a,n/a,n/a,n/a,mss,n/a,,,,
ddlib,dlib,n/a,n/a,n/a,n/a,n/a,,,,
like,n/a,n/a,n/a,n/a,lime,n/a,,,,
