package_name,total_packages_installed,normal_time,typosquatting_time,difference,,,,
lodash.some,1,1.2399957,1.4241911,0.1841954,,,,
is-relative,3,1.5034214,1.5999797,0.0965583,,,,
agent-base,3,1.7282203,1.6109558,-0.1172645,,,,average number of packages installed per package
postcss-value-parser,1,1.4838157,1.5756467,0.091831,,,,14.976
asap,1,1.2640144,1.6393106,0.3752962,,,,
base,36,3.7586769,3.2208801,-0.5377968,,,,average install time without scan (seconds)
babel-plugin-transform-es2015-block-scoping,26,4.0253263,3.9520091,-0.0733172,,,,2.604781101
node-fetch,1,1.5454665,1.8257043,0.2802378,,,,
file-type,11,1.8846363,2.1892587,0.3046224,,,,average install time with scan (seconds)
jest-diff,19,2.9212785,2.8684564,-0.0528221,,,,2.668755531
#NAME?,57,4.0645659,4.2176657,0.1530998,,,,
p-defer,1,1.317125,1.4670288,0.1499038,,,,average slowdown (seconds)
asynckit,1,1.5658567,1.671714,0.1058573,,,,0.06397443
lolex,3,1.4360465,1.7247085,0.288662,,,,
window-size,9,1.5344703,2.0217595,0.4872892,,,,average overhead (%)
object-keys,1,1.2835733,1.7882838,0.5047105,,,,2.45603862
nullthrows,1,1.353632,1.5379601,0.1843281,,,,
require-context.macro,2,1.3122284,1.3163282,0.0040998,,,,
es6-map,12,4.2082658,4.4704663,0.2622005,,,,
logalot,57,4.9084308,5.0487058,0.140275,,,,
binary-extensions,1,1.4791135,1.6120528,0.1329393,,,,
JSONStream,3,1.4249979,1.4582541,0.0332562,,,,
arr-map,3,1.7070357,1.6842549,-0.0227808,,,,
lodash.get,1,1.3735371,1.3324632,-0.0410739,,,,
has-unicode,1,1.4669038,1.5102753,0.0433715,,,,
postcss,10,1.6694667,2.0299417,0.360475,,,,
invariant,3,1.5319875,1.7454016,0.2134141,,,,
#NAME?,2,1.5172795,1.421903,-0.0953765,,,,
feature-policy,1,1.297459,1.472612,0.175153,,,,
glamorous,11,2.2165585,1.8990825,-0.317476,,,,
assert,25,3.7444672,3.9775659,0.2330987,,,,
babel-helper-is-nodes-equiv,1,1.6906175,32.4478487,30.7572312,,,,
brace-expansion,3,1.6474494,1.7174883,0.0700389,,,,
#NAME?,4,1.6488707,1.7904675,0.1415968,,,,
css-loader,36,3.9191143,3.9253744,0.0062601,,,,
ms,1,1.25795,1.4642247,0.2062747,,,,
decompress-response,2,1.4069667,1.4234103,0.0164436,,,,
spdx-exceptions,1,1.4302299,1.4759676,0.0457377,,,,
map-stream,1,1.2934782,1.4292127,0.1357345,,,,
realpath-native,1,1.2389762,1.4530011,0.2140249,,,,
debug,2,1.3086559,1.4541944,0.1455385,,,,
private,1,1.3465035,1.3250898,-0.0214137,,,,
rework,11,1.9977391,1.8421529,-0.1555862,,,,
cli-cursor,5,1.540461,1.7464821,0.2060211,,,,
entities,1,1.3826476,1.5670606,0.184413,,,,
lowlight,4,2.0062435,1.8565996,-0.1496439,,,,
doctrine,2,1.3954614,1.5882336,0.1927722,,,,
#NAME?,1,2.2727634,1.6422241,-0.6305393,,,,
tweetnacl,1,1.2889917,1.532803,0.2438113,,,,
webpack-addons,186,15.0455918,14.0022193,-1.0433725,,,,
#NAME?,2,1.5851331,1.6595419,0.0744088,,,,
prelude-ls,1,1.5752978,1.471872,-0.1034258,,,,
resolve,2,1.4016461,1.5630166,0.1613705,,,,
es-to-primitive,5,1.7414491,1.7141029,-0.0273462,,,,
whatwg-fetch,1,1.5778375,1.4095535,-0.168284,,,,
graphql-playground-html,1,1.3119809,1.3135635,0.0015826,,,,
p-locate,3,1.5767183,1.5049174,-0.0718009,,,,
http-parser-js,1,1.424687,1.5057721,0.0810851,,,,
react-transition-group,10,2.5298102,2.3167763,-0.2130339,,,,
string.prototype.trimleft,4,1.5017056,1.595061,0.0933554,,,,
saxes,2,1.2251676,1.4749737,0.2498061,,,,
ip,1,1.3122006,1.7752939,0.4630933,,,,
pid-from-port,17,2.580114,2.0734832,-0.5066308,,,,
#NAME?,2,2.2733662,1.586611,-0.6867552,,,,
#NAME?,28,3.477705,3.6584651,0.1807601,,,,
type-check,2,1.5285392,1.5721687,0.0436295,,,,
es5-ext,8,3.8092228,4.0334707,0.2242479,,,,
use,1,1.4125703,1.2700506,-0.1425197,,,,
babel-loader,20,2.6336904,2.7393926,0.1057022,,,,
isstream,1,1.3626195,1.590334,0.2277145,,,,
color-name,1,1.2768631,1.3986842,0.1218211,,,,
har-validator,8,2.2712365,1.969173,-0.3020635,,,,
jest-environment-jsdom,379,27.3684854,27.8015715,0.4330861,,,,
handle-thing,1,1.4920422,1.3810959,-0.1109463,,,,
file-type,11,2.066645,2.2404648,0.1738198,,,,
read-pkg,29,3.1705185,3.1786395,0.008121,,,,
optimize-css-assets-webpack-plugin,144,15.5363666,15.5146915,-0.0216751,,,,
webpack-subresource-integrity,4,2.0602059,1.9046964,-0.1555095,,,,
frac,1,1.4751285,1.7263242,0.2511957,,,,
#NAME?,2,7.2993418,7.4392778,0.139936,,,,
web-namespaces,1,1.4024932,2.5261136,1.1236204,,,,
imagemin-mozjpeg,219,13.7568979,14.6700511,0.9131532,,,,
